  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Time                              │Destination │NumberOfCompleteVehicles │FoamBox │PlasticFrame │Mark1 │Mark1Bar │Mark2 │Mark3 │Level3 │Supermarket3Labels │SmallFruit │BigFruit │FlowersFruits │Mark1_J │Mark2_J │Mark3_J │SmallFruitMark1 │SmallBunchFruits │BunchFruits │FineBunchFruits │SweetBunchFruits │BunchFruitsAA │AAA │TurnoverBasket │ElectronicCommerce │Carpooling 
  ─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │   ├───2022-03-03 (3)             │            │900                      │814     │86           │0     │0        │0     │525   │0      │178                │49         │0        │62            │15      │71      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-03             │武汉          │507                      │507     │0            │0     │0        │0     │507   │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-03             │成都          │393                      │307     │86           │0     │0        │0     │18    │0      │178                │49         │0        │62            │15      │71      │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-03             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-04 (3)             │            │643                      │608     │35           │13    │0        │52    │173   │18     │262                │47         │0        │43            │35      │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-04             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-04             │成都          │373                      │338     │35           │0     │0        │0     │11    │0      │262                │47         │0        │18            │35      │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-04             │峨眉          │270                      │270     │0            │13    │0        │52    │162   │18     │0                  │0          │0        │25            │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-05 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-05             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-05             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-05             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-06 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-06             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-06             │成都          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   └───2022-03-06             │峨眉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   ├───2022-03-07 (3)             │            │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
  │   │   ├───2022-03-07             │武汉          │0                        │0       │0            │0     │0        │0     │0     │0      │0                  │0          │0        │0             │0       │0       │0       │0               │0                │0           │0               │0                │0             │0   │0              │0                  │0          
